id,seccion,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,distrito
CATAMARCA_AMBATO,"Ambato, Catamarca",UNION POR LA PATRIA,44.24,55.76,1824,2299,76.63,5495,4211,1.12,0.07,0.9,47,3,CATAMARCA
CATAMARCA_ANTOFAGASTA DE LA SIERRA,"Antofagasta De La Sierra, Catamarca",,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,CATAMARCA
CATAMARCA_ANCASTI,"Ancasti, Catamarca",UNION POR LA PATRIA,39.57,60.43,713,1089,57.73,3208,1852,0.92,0.0,1.78,17,0,CATAMARCA
CATAMARCA_ANDALGALA,"Andalgala, Catamarca",LA LIBERTAD AVANZA,51.7,48.3,5768,5388,69.75,16365,11415,1.01,0.02,1.24,115,2,CATAMARCA
CATAMARCA_BELEN,"Belen, Catamarca",LA LIBERTAD AVANZA,52.9,47.1,8108,7219,64.62,24328,15720,1.27,0.05,1.18,199,8,CATAMARCA
CATAMARCA_CAPAYAN,"Capayan, Catamarca",UNION POR LA PATRIA,43.48,56.52,4375,5687,67.57,15227,10289,1.11,0.07,1.03,114,7,CATAMARCA
CATAMARCA_CAPITAL,"Capital, Catamarca",LA LIBERTAD AVANZA,57.92,42.08,56494,41036,70.75,141673,100236,1.14,0.11,1.45,1145,112,CATAMARCA
CATAMARCA_EL ALTO,"El Alto, Catamarca",UNION POR LA PATRIA,34.26,65.74,1098,2107,75.43,4343,3276,1.07,0.0,1.1,35,0,CATAMARCA
CATAMARCA_FRAY MAMERTO ESQUIU,"Fray Mamerto Esquiu, Catamarca",LA LIBERTAD AVANZA,53.76,46.24,4695,4038,74.68,12239,9140,2.87,0.01,1.58,262,1,CATAMARCA
CATAMARCA_LA PAZ,"La Paz, Catamarca",UNION POR LA PATRIA,37.83,62.17,5960,9794,76.71,21019,16123,1.31,0.04,0.94,211,6,CATAMARCA
CATAMARCA_PACLIN,"Paclin, Catamarca",UNION POR LA PATRIA,41.24,58.76,1366,1946,73.81,4555,3362,0.62,0.36,0.51,21,12,CATAMARCA
CATAMARCA_POMAN,"Poman, Catamarca",UNION POR LA PATRIA,44.95,55.05,3111,3810,72.38,9726,7040,0.7,0.0,0.99,49,0,CATAMARCA
CATAMARCA_SANTA MARIA,"Santa Maria, Catamarca",LA LIBERTAD AVANZA,56.3,43.7,8642,6707,73.0,21493,15689,0.83,0.04,1.29,131,6,CATAMARCA
CATAMARCA_SANTA ROSA,"Santa Rosa, Catamarca",UNION POR LA PATRIA,40.36,59.64,3360,4966,74.74,11327,8466,0.76,0.0,0.9,64,0,CATAMARCA
CATAMARCA_TINOGASTA,"Tinogasta, Catamarca",LA LIBERTAD AVANZA,54.81,45.19,6999,5770,66.82,19710,13170,1.48,0.02,1.55,195,2,CATAMARCA
CATAMARCA_VALLE VIEJO,"Valle Viejo, Catamarca",LA LIBERTAD AVANZA,55.54,44.46,11075,8865,72.77,28154,20488,1.03,0.05,1.59,211,11,CATAMARCA
