,id,agrupacion_ganadora,LA LIBERTAD AVANZA_perc,UNION POR LA PATRIA_perc,LA LIBERTAD AVANZA_votos,UNION POR LA PATRIA_votos,Participacion,electores,votantes,BLANCO_perc,IMPUGNADO_perc,NULO_perc,BLANCO_votos,IMPUGNADO_votos,NULO_votos
0,BUENOS AIRES,UNION POR LA PATRIA,49.27,50.73,4776711,4919211,76.27,13133726,10017387,1.78,0.06,1.37,178640,5921,136904
1,CATAMARCA,LA LIBERTAD AVANZA,52.75,47.25,123588,110721,70.59,340662,240477,1.17,0.07,1.32,2816,170,3182
2,CHACO,LA LIBERTAD AVANZA,50.07,49.93,353024,352036,71.85,1000094,718539,0.84,0.05,0.99,6055,342,7082
3,CHUBUT,LA LIBERTAD AVANZA,59.11,40.89,195543,135267,72.98,474583,346332,1.43,0.07,2.99,4947,228,10347
4,CIUDAD AUTONOMA DE BUENOS AIRES,LA LIBERTAD AVANZA,57.24,42.76,1034157,772440,75.19,2526676,1899818,2.86,0.06,1.99,54256,1081,37884
5,CORDOBA,LA LIBERTAD AVANZA,74.05,25.95,1637147,573695,75.0,3060943,2295803,1.57,0.04,2.1,35939,839,48183
6,CORRIENTES,LA LIBERTAD AVANZA,53.2,46.8,366191,322157,75.77,930212,704814,0.76,0.04,1.53,5387,265,10814
7,ENTRE RIOS,LA LIBERTAD AVANZA,61.48,38.52,525046,328920,77.09,1145440,882978,1.31,0.03,1.94,11602,293,17117
8,FORMOSA,UNION POR LA PATRIA,43.5,56.5,152131,197598,73.8,482485,356095,0.88,0.02,0.89,3132,73,3161
9,JUJUY,LA LIBERTAD AVANZA,58.33,41.67,253180,180831,75.5,590950,446171,0.9,0.05,1.77,4014,240,7906
10,LA PAMPA,LA LIBERTAD AVANZA,57.35,42.65,126302,93923,75.96,300032,227910,1.46,0.03,1.88,3330,73,4282
11,LA RIOJA,LA LIBERTAD AVANZA,53.72,46.28,125247,107880,78.21,304409,238089,0.88,0.04,1.17,2096,85,2781
12,MENDOZA,LA LIBERTAD AVANZA,71.15,28.85,780364,316450,76.17,1494888,1138604,1.5,0.05,2.12,17067,552,24171
13,MISIONES,LA LIBERTAD AVANZA,56.8,43.2,403126,306647,73.27,989610,725063,1.27,0.03,0.81,9202,209,5879
14,NEUQUEN,LA LIBERTAD AVANZA,60.42,39.58,253472,166022,79.14,554077,438483,1.3,0.05,2.98,5702,224,13063
15,RIO NEGRO,LA LIBERTAD AVANZA,54.24,45.76,235662,198814,75.88,595968,452238,1.3,0.04,2.59,5881,177,11704
16,SALTA,LA LIBERTAD AVANZA,57.86,42.14,456509,332510,73.98,1091792,807733,0.98,0.12,1.21,7933,975,9806
17,SAN JUAN,LA LIBERTAD AVANZA,60.68,39.32,274429,177818,76.68,607413,465746,1.14,0.14,1.62,5288,666,7545
18,SAN LUIS,LA LIBERTAD AVANZA,67.99,32.01,213778,100638,77.17,421044,324938,1.25,0.07,1.91,4077,243,6202
19,SANTA CRUZ,LA LIBERTAD AVANZA,58.06,41.94,104179,75244,69.89,265825,185793,1.03,0.03,2.37,1908,52,4410
20,SANTA FE,LA LIBERTAD AVANZA,62.82,37.18,1278243,756388,74.79,2827794,2114789,1.61,0.03,2.15,34080,551,45527
21,SANTIAGO DEL ESTERO,UNION POR LA PATRIA,31.58,68.42,198592,430248,78.38,814184,638168,0.69,0.03,0.74,4418,175,4735
22,TIERRA DEL FUEGO,LA LIBERTAD AVANZA,53.3,46.7,54832,48046,72.63,147984,107486,1.02,0.09,3.17,1099,98,3411
23,TUCUMAN,LA LIBERTAD AVANZA,51.98,48.02,555009,512638,82.59,1319493,1089792,0.79,0.08,1.15,8646,914,12585
